Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,0.6279667143623318,0.8434515233445312,0.4124819053801322
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,0.6970911703504733,0.9195981305707592,0.4745842101301873
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,0.7263250176857908,0.9461702939065154,0.5064797414650662
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,0.7464702626752611,0.9593858867426353,0.5335546386078869
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,0.7846652681982667,1.0164338057043507,0.5528967306921826
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,0.906032528758522,1.146790482709194,0.6652745748078501
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,0.9213672756204736,1.1701174203068347,0.6726171309341125
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,0.8490965793673644,1.0747159593303053,0.6234771994044236
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,0.887206921888257,1.1294568477274298,0.6449569960490842
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,0.8763266285090101,1.1175001907614,0.6351530662566203
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,0.8828920787857545,1.1132313853750428,0.6525527721964662
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2001,0.9068882366307318,1.1503276589641445,0.6634488142973193
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2002,0.9195796398044276,1.1670379275007503,0.6721213521081046
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2003,0.9171416467614366,1.169335616383795,0.6649476771390785
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2004,0.9813315727533004,1.2468091090086777,0.7158540364979232
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2005,1.0215700673079469,1.289754683620728,0.7533854509951656
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2006,1.0395616674758197,1.3305208891673868,0.7486024457842522
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2007,1.1113638333018612,1.3949238220954392,0.8278038445082831
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2008,1.1768566100834457,1.4647169579414037,0.8889962622254877
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2009,1.2115971053856072,1.497528927935711,0.9256652828355036
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2010,1.1938119399984983,1.470209304556874,0.9174145754401226
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2011,1.112614714507439,1.377512529086783,0.8477168999280953
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2012,1.1062237796418724,1.3637601549857343,0.8486874042980104
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2013,1.1078005508523752,1.3801580723891973,0.835443029315553
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2014,1.098420642571785,1.3490503250146335,0.8477909601289366
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2015,1.0594723628550933,1.3047429645752573,0.8142017611349293
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2016,1.049589617217462,1.2942376109951677,0.8049416234397565
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2017,0.9924417491827526,1.2151140121797637,0.7697694861857415
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2018,0.9413365398644856,1.1829283793610308,0.6997447003679402
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2019,0.8815336216934496,1.10592153664781,0.6571457067390895
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2020,0.9024205224383386,1.1093578203642218,0.6954832245124554
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2021,0.8055127956388543,1.0133308328744914,0.5976947584032171
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1990,0.0620479109622886,0.0896102988501987,0.0344855230743785
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1991,0.0636542127347385,0.0923697790254906,0.0349386464439864
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1992,0.06515552025859678,0.09363332491664005,0.03667771560055351
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1993,0.0661580010368489,0.095184545612368,0.0371314564613298
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1994,0.0671912535307898,0.0974793693661729,0.0369031376954067
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1995,0.0680391206560274,0.0980571482510964,0.0380210930609584
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1996,0.0683919364585082,0.1000635442837596,0.0367203286332569
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1997,0.0676841208438831,0.0991351030596533,0.0362331386281129
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1998,0.0695221006076179,0.1030523667050894,0.0359918345101465
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,1999,0.07143211652392498,0.1062276234233413,0.036636609624508654
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2000,0.07124712806858008,0.10467024294923084,0.03782401318792933
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2001,0.07108107415706229,0.10481794492226822,0.03734420339185636
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2002,0.07309290416467959,0.1075772666207572,0.03860854170860199
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2003,0.074501736162291,0.11058441675609054,0.03841905556849146
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2004,0.07906057596418918,0.11643327622037734,0.04168787570800102
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2005,0.08058402777661139,0.11901369772182746,0.04215435783139532
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2006,0.08280743939728981,0.12296865019118852,0.04264622860339111
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2007,0.0824451220614974,0.12336010461237595,0.041530139510618846
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2008,0.0852153437059861,0.12716317485514173,0.04326751255683048
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2009,0.0894657598557172,0.13297861937486566,0.04595290033656875
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2010,0.0884366579968277,0.13175580077224708,0.04511751522140832
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2011,0.09112405162953915,0.13275655318453272,0.0494915500745456
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2012,0.08998061934619195,0.13075230442908642,0.04920893426329748
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2013,0.08671713181481348,0.12724192671462967,0.0461923369149973
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2014,0.07971831245101013,0.11990541507338408,0.039531209828636185
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2015,0.07897923551433392,0.11836606731093598,0.03959240371773186
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2016,0.07825261237498687,0.11619378393778308,0.04031144081219069
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2017,0.07791121646168563,0.11491224649698076,0.0409101864263905
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2018,0.07625332752844508,0.11344619625438,0.03906045880251016
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2019,0.07524155565397192,0.11209517183492589,0.03838793947301797
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2020,0.07520702078338296,0.10940742126344176,0.04100662030332417
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Enterobacter spp.,Carbapenems,Attributable,2021,0.07175621262543377,0.10546033823173229,0.03805208701913528
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Escherichia coli,Carbapenems,Attributable,1990,0.0272092145873904,0.0544706225864629,0
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Escherichia coli,Carbapenems,Attributable,1991,0.027785274353829,0.054461930376994,0.0011086183306639
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Escherichia coli,Carbapenems,Attributable,1992,0.028364092688202752,0.05492878259006524,0.0017994027863402588
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Escherichia coli,Carbapenems,Attributable,1993,0.0272690606767664,0.051203461680124,0.0033346596734089
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Escherichia coli,Carbapenems,Attributable,1994,0.0280679807084267,0.0524208587142445,0.0037151027026089
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Escherichia coli,Carbapenems,Attributable,1995,0.0303510175962186,0.0565196986991248,0.0041823364933123
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Escherichia coli,Carbapenems,Attributable,1996,0.0289973810652977,0.0539647696314581,0.0040299924991374
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Escherichia coli,Carbapenems,Attributable,1997,0.0319675388189587,0.0590450583094125,0.0048900193285049
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Escherichia coli,Carbapenems,Attributable,1998,0.0266688326115977,0.048732710802488,0.0046049544207073
American Samoa,15 to 19,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Escherichia coli,Carbapenems,Attributable,1999,0.03215925992459559,0.06003070341684123,0.004287816432349951
